trial_number,condition,real_passage,jabber_passage,target_word,target_word_position,unmasked_word_indices,entropy,target_probability,target_log_probability,target_pos,og_passage_seed_number,passage_id
1,most_masked,The aged lady enjoyed watching as the setting sun painted the sky with vibrant colors. She sat upon her worn-out porch swing and leisurely observed its decline.,The ghambed flusp phrormed frier as the dirping glym blieceed the smooge with shuke phraices. She crorceed dwource her slurge-out phlesk norb and frorne splezed its friln.,sat,16.0,[],2.676566362,0.4801896513,-0.733574152,verb,1.0,
2,most_masked,"A howling wind ripped its way through the forest, sending shivers down your spine with its ferocious sound. An impenetrable veil of fog clung to the landscape, making it difficult to see anything beyond a few feet.","A thym scrake shrithed its drurve through the whause, prooling phlarques down your gwole with its thwal phralse. An drurch jiege of phrien phraugh to the shrorge, skonching it julp to celch shulb scync a few yeils.",fog,22.0,[],2.0409768,0.453,-0.7918645144,noun,18.0,
3,most_masked,That book captivated me completely; I found myself unable to stop reading until I finished it.,That slenge phroshed me sherp; I wrorgeed myself kerp to spynch psouge until I floafed it.,reading,11.0,[],0.5795676112,0.8991852403,-0.1062662154,verb,7.0,
4,most_masked,"The leather-bound volume, its spine cracked and faded, sat nestled amongst stacks of yellowed legal documents on a dusty shelf, in a dimly lit law library. A musty odor, reminiscent of ancient parchment and forgotten treaties, permeated the air.","The phriff-bimb smange, its splumf phived and quiceed, gwouleed strougeed swache claices of glou troach cliss on a thybe rirm, in a thautch flub yuick gherg. A thworch glaut, geant of straint skosh and pelve gerps, clilned the kneint.",dusty,18.0,[],1.5028998,0.7585857511,-0.2762994468,adjective,4.0,
5,most_masked,He crafted a picturesque landscape through a skillful application of vivid color that flowed smoothly into one another to portray both a feeling of vastness and dynamic action.,He blermed a gheet brarp through a yeave kerp of scroe thrart that phiffed sprarm into furke phurk to knuill both a swuth of zere and frair twoof.,landscape,4.0,[],4.049487,0.04467498511,-3.108341455,noun,10.0,
6,most_masked,"A weathered visage reflected concern, and she settled into the bench of the park, eyes locked onto the faraway horizon line.","A claub frorne silthed cluice, and she awned into the plesk of the gwook, cliss shiceed psym the choach ooch clilth.",horizon,19.0,[],5.3835382,0.1446955204,-1.933123589,noun,30.0,
7,most_masked,"The vibrant colors of the sunset painted the sky in a breathtaking display. Birds flew high above, their wings catching the last rays of light.","The thoun sproses of the splaff dwoged the blegg in a boathe shrett. Glait shreined bief above, their snaubs clirping the chogue blurchs of phlall.",display,12.0,[],1.4832243,0.541128099,-0.6140992641,noun,8.0,
8,most_masked,"Ancient ruins slumbered under the shifting sands, covered by time’s relentless layer after layer of dust.  Researchers dedicated themselves to scrutinizing these remnants for many years until they uncovered their secrets.","Gweel smaffs treffed under the placing scruths, strainted by splafe’s phalc splinch after splinch of shurb. Phurt twouched themselves to dreaseing these brypes for scrusque prales until they twuthed their twoars.",years,25.0,[],1.6688384,0.671,-0.399664402,noun,22.0,
9,most_masked,Dusty shadows danced within a dimly lit attic as soft light played upon forgotten relics. An aged tapestry hung above an old chest buried deep beneath cobwebs.,Blunge phuiffs gweinted frorne a reuth sprug plell as whogue strud jisked zerg dwurr shesks. An peighth dawp loile above an blalf flien wrilked prault nurb blerges.,chest,22.0,[],2.8843806,0.04232368618,-3.162408352,noun,9.0,
10,most_masked,"The late afternoon sun cast long shadows across the abandoned cornfield, illuminating dust motes dancing in the air. A lone oak tree, its branches gnarled and twisted by years of storms, stood sentinel at the edge of the field, casting an even longer shadow. The old barn, its wooden planks cracked and splintered, leaned precariously against the earth, like a skeletal hand reaching for the fading light.","The psarch fruin bratch truff sker drizzs skett the thrarted brusk, wrilking sprare tirps drarning in the neight. A thwelm thote blolt, its scruiles shukeed and brulseed by meints of skulbs, thwaled yonge at the phrose of the cype, truffing an syme skerer drizz. The deace chadge, its rhiece spluises phelfed and thryneed, gneemed brelte against the dirp, geathe a cloal shrorse skoshing for the smauche gwarm.",barn,46.0,[],4.0002556,0.06963641196,-2.664467812,noun,5.0,
11,some_masked,"Though his technique was sure, he couldn't quite get his art to the desired level of completion. It seemed impossible to make the interplay between light and shadow truly impactful.","Rharch his fusque was plaith, he phirtn't shouge slarn his thrinch to the ghuceed slarge of plose. It twisqueed driel to kniss the drek between wunge and zolve zogue simn.",shadow,27.0,[],0.59874165,0.8988157511,-0.1066772118,noun,23.0,
