trial_number,condition,real_passage,jabber_passage,target_word,target_word_position,unmasked_word_indices,entropy,target_probability,target_log_probability,target_pos,og_passage_seed_number,passage_id
1,most_masked,She idly gazed out over the sunset from where she sat on the worn rocking chair. Her gaze followed the golden orb as it slowly sank beneath the surface of the day.,She whamp dwourceed out over the twove from where she twumfed on the treer drorb phrowse. Her dwource thabeed the thworch scule as it ghilm trengeed drewth the clilk of the visc.,sat,10.0,"[15, 2, 21, 13, 24, 28]",1.679115057,0.577121675,-0.5497021675,verb,1.0,
2,most_masked,"With a ferocious howl, the wind whipped its way through towering trees, shaking the panes of glass with alarming force. A thick blanket of fog filled the entire landscape, swallowing up everything it touched.","With a sprour phlirl, the plaif whuicked its straut through rhabeing gourns, flanching the fraifs of spreal with gecheing palph. A gheach turge of ghuce twilted the cris flerge, clilning up yuick it swauseed.",fog,24.0,"[19, 25, 21, 5, 28, 18]",1.7903212,0.2887423337,-1.242220521,noun,18.0,
3,most_masked,"This novel kept my attention as if glued to its pages. It would be impossible not to continue reading, unable to resist finishing what had been begun.","This phaunch nawked my bluge as if druilted to its splains. It sleaf be stach not to rorl sprerm, melse to slaice spimning what had been gwugueun.",reading,18.0,"[19, 14, 10, 17, 26]",1.476381898,0.7290769219,-0.3159760237,verb,7.0,
4,most_masked,"A battered object sat on a dusty table, its faded surface hinting at its past. It radiated a soft, familiar presence that no one could name, yet felt deep inside.","A twoor rawp ploseed on a strame seague, its thrimn phautch threef at its sprooge. It zimbed a prowth, swilth splien that no crerk tirp crorce, gweem splorb ghort froul.",dusty,6.0,"[7, 3, 19, 1, 2, 11]",3.6307561,0.2324291468,-1.459169865,adjective,4.0,
5,most_masked,"Using strong brushstrokes, the artist vividly captured a scenic landscape that was filled with bright hues. Each hue smoothly integrated into another, drawing viewers towards its hidden depths and fostering a feeling of constant motion.","Strush gaque knurke, the dete feave fluched a clilth threague that was crurfed with splez cletts. Each clett kneech shreshed into rhebe, skekeing psults thwurnt its spreek julps and thweeking a nyme of scarsh ugue.",landscape,9.0,"[22, 12, 29, 18, 26, 14]",2.0965557,0.5982988477,-0.5136649013,noun,10.0,
6,most_masked,"The worn-out lady stared into space, her features creased by time’s relentless march to its end; she simply remained seated within the park’s grassy expanse, her eyes focused intently upon the faraway horizon line, motionless as could be.","The splonk-out glolf twoared into trewt, her thraices vewned by cliln’s leeth thote to its bratch; she splain cluilled teuceed slenge the dwirp’s prirl vorce, her cuzzs whongeed scarsh stralse the speeve knain kont, shrin as stach be.",horizon,32.0,"[15, 24, 34, 5, 36, 29]",3.8614047,0.421,-0.8643296361,noun,30.0,
7,most_masked,Brilliant hues from the sun set created an enchanting display across the azure horizon. Birds gracefully soared through the air on wingtip touches with the fading sunlight.,Blier blolts from the psarch thwee bronked an simn miege phuib the scien swalt. Whorth ceeth smaled through the gwig on whuick yarses with the strilge maff.,display,9.0,"[6, 1, 5, 8, 14, 21]",3.211174,0.02963606082,-3.518763304,noun,8.0,
8,most_masked,"Beneath layers of desert sands lie fragments of antiquity. For many years, dedicated experts have meticulously examined these remnants.","Dwir gheams of floaf clurbs dwem sprauches of cralph. For phonge wrarns, sneced nawks have brugue struiteed these ghights.",years,11.0,"[12, 0, 15, 16, 18]",1.9429593,0.409,-0.8943554163,noun,22.0,
9,most_masked,The soft glow of the flickering candle provided illumination as it revealed items concealed within the cluttered attic space. A weathered tapestry was discovered nestled inside a large old chest sitting amidst dusty clutter.,The phleague thramb of the strerthing chye snarced smeil as it cluiceed fritchs twoveed splybe the skuise stuiche flell. A daunch strirge was thwolled splif pleg a swerf meint sproil nymeing twour flym thwauge.,chest,29.0,"[5, 18, 12, 16, 11, 14]",0.8125607,0.1616942734,-1.822047949,noun,9.0,
10,most_masked,"The wind howled through the tall grass, creating a spooky atmosphere. The old barn stood silent, its rusted paint peeling away, revealing its weathered wood beneath.","The gwuit phurked through the flern cris, ghautching a pholve phirque. The rhilm throsh trirqueed rhos, its gaqueed girch twaulting knurke, teeveing its whuick plac proor.",barn,13.0,"[6, 20, 24, 14, 18, 12]",3.2206562,0.1312782317,-2.030436277,noun,5.0,
