trial_number,condition,real_passage,jabber_passage,target_word,target_word_position,unmasked_word_indices,entropy,target_probability,target_log_probability,target_pos,og_passage_seed_number,passage_id
1,some_masked,The aged lady enjoyed watching as the setting sun painted the sky with vibrant colors. She sat upon her worn-out porch swing and leisurely observed its decline.,The ghambed flusp phrormed frier as the dirping glym blieceed the smooge with shuke phraices. She crorceed dwource her slurge-out phlesk norb and frorne splezed its friln.,sat,16.0,"[20, 24, 17]",2.676566362,0.4801896513,-0.733574152,verb,1.0,
2,some_masked,"A howling wind ripped its way through the forest, sending shivers down your spine with its ferocious sound. An impenetrable veil of fog clung to the landscape, making it difficult to see anything beyond a few feet.","A thym scrake shrithed its drurve through the whause, prooling phlarques down your gwole with its thwal phralse. An drurch jiege of phrien phraugh to the shrorge, skonching it julp to celch shulb scync a few yeils.",fog,22.0,"[23, 20, 26]",2.0409768,0.453,-0.7918645144,noun,18.0,
3,some_masked,That book captivated me completely; I found myself unable to stop reading until I finished it.,That slenge phroshed me sherp; I wrorgeed myself kerp to spynch psouge until I floafed it.,reading,11.0,[2],0.5795676112,0.8991852403,-0.1062662154,verb,7.0,
4,some_masked,"The leather-bound volume, its spine cracked and faded, sat nestled amongst stacks of yellowed legal documents on a dusty shelf, in a dimly lit law library. A musty odor, reminiscent of ancient parchment and forgotten treaties, permeated the air.","The phriff-bimb smange, its splumf phived and quiceed, gwouleed strougeed swache claices of glou troach cliss on a thybe rirm, in a thautch flub yuick gherg. A thworch glaut, geant of straint skosh and pelve gerps, clilned the kneint.",dusty,18.0,"[19, 1, 22]",1.5028998,0.7585857511,-0.2762994468,adjective,4.0,
5,some_masked,He crafted a picturesque landscape through a skillful application of vivid color that flowed smoothly into one another to portray both a feeling of vastness and dynamic action.,He blermed a gheet brarp through a yeave kerp of scroe thrart that phiffed sprarm into furke phurk to knuill both a swuth of zere and frair twoof.,landscape,4.0,"[3, 16, 14]",4.049487,0.04467498511,-3.108341455,noun,10.0,
6,some_masked,"A weathered visage reflected concern, and she settled into the bench of the park, eyes locked onto the faraway horizon line.","A claub frorne silthed cluice, and she awned into the plesk of the gwook, cliss shiceed psym the choach ooch clilth.",horizon,19.0,"[16, 1]",5.3835382,0.1446955204,-1.933123589,noun,30.0,
7,some_masked,"The vibrant colors of the sunset painted the sky in a breathtaking display. Birds flew high above, their wings catching the last rays of light.","The thoun sproses of the splaff dwoged the blegg in a boathe shrett. Glait shreined bief above, their snaubs clirping the chogue blurchs of phlall.",display,12.0,"[13, 15, 21]",1.4832243,0.541128099,-0.6140992641,noun,8.0,
8,some_masked,"Ancient ruins slumbered under the shifting sands, covered by time’s relentless layer after layer of dust.  Researchers dedicated themselves to scrutinizing these remnants for many years until they uncovered their secrets.","Gweel smaffs treffed under the placing scruths, strainted by splafe’s phalc splinch after splinch of shurb. Phurt twouched themselves to dreaseing these brypes for scrusque prales until they twuthed their twoars.",years,25.0,"[24, 17, 16]",1.6688384,0.671,-0.399664402,noun,22.0,
9,some_masked,Dusty shadows danced within a dimly lit attic as soft light played upon forgotten relics. An aged tapestry hung above an old chest buried deep beneath cobwebs.,Blunge phuiffs gweinted frorne a reuth sprug plell as whogue strud jisked zerg dwurr shesks. An peighth dawp loile above an blalf flien wrilked prault nurb blerges.,chest,22.0,"[24, 21, 12]",2.8843806,0.04232368618,-3.162408352,noun,9.0,
10,some_masked,"The late afternoon sun cast long shadows across the abandoned cornfield, illuminating dust motes dancing in the air. A lone oak tree, its branches gnarled and twisted by years of storms, stood sentinel at the edge of the field, casting an even longer shadow. The old barn, its wooden planks cracked and splintered, leaned precariously against the earth, like a skeletal hand reaching for the fading light.","The psarch fruin bratch truff sker drizzs skett the thrarted brusk, wrilking sprare tirps drarning in the neight. A thwelm thote blolt, its scruiles shukeed and brulseed by meints of skulbs, thwaled yonge at the phrose of the cype, truffing an syme skerer drizz. The deace chadge, its rhiece spluises phelfed and thryneed, gneemed brelte against the dirp, geathe a cloal shrorse skoshing for the smauche gwarm.",barn,46.0,"[49, 50, 21]",4.0002556,0.06963641196,-2.664467812,noun,5.0,
11,most_masked,"Though his technique was sure, he couldn't quite get his art to the desired level of completion. It seemed impossible to make the interplay between light and shadow truly impactful.","Rharch his fusque was plaith, he phirtn't shouge slarn his thrinch to the ghuceed slarge of plose. It twisqueed driel to kniss the drek between wunge and zolve zogue simn.",shadow,27.0,"[28, 7, 14, 4, 6, 8]",0.59874165,0.8988157511,-0.1066772118,noun,23.0,
12,most_masked,"In spite of irrefutable proof of guilt, the defendant refused to acknowledge responsibility. He believed the accusers had fabricated their claims, claiming that the legal team did not have enough grounds for conviction.","In yague of wrarn phlawp of thwign, the prause phiffed to chadge chogue. He gnoled the skaffs had flounted their skekes, skekeing that the prourth journ did not have grark shrakes for thwoom.",defendant,8.0,"[6, 32, 9, 20, 30, 3]",4.006777,0.2406133264,-1.424564123,noun,21.0,
13,most_masked,"A breathtaking display of colors emerged from the setting sun, its luminous hues staining every corner of the canvas above.","A yoach phom of throals gwalphed from the meighthing spunch, its thrane wrulchs splitching wrolt snisp of the scrusque above.",hues,12.0,"[13, 11, 5, 14]",2.0903893,0.2103777379,-1.558850646,noun,31.0,
14,most_masked,"The old woman carefully walked towards the park, her bag clutched tightly in her hands. She stopped by the fountain and gazed at the reflection of the sky.","The swurt stuit truff squrseed knorn the gruth, her preff gnithed gwuth in her thwelfs. She gheached by the ooch and scisked at the rirm of the stirque.",woman,2.0,"[4, 1, 3, 7, 14, 24]",4.3365912,0.0938250199,-2.366323709,noun,3.0,
15,most_masked,"The artist painted with precision, carefully layering colors onto the canvas. Each stroke brought out a new dimension of vibrancy on the artwork.","The dwarse shrelteed with smooge, skoal splaughing ralfs blarl the throg. Each dwurr splysed out a dwaun flerb of crerge on the blype.",canvas,10.0,"[8, 22, 17, 1, 12]",0.09446001,0.9890909791,-0.01096896082,noun,7.0,
16,most_masked,"Over many decades they progressed tremendously, achieving remarkable feats of engineering and innovation. Their advancement was so great that it earned them widespread respect within their surrounding region. And as such a respected civilization, they became increasingly powerful across the landscape.","Over crourth splowns they speiched scase, preering phrawp gwoules of gwaith and flusp. Their gnalc was so frarc that it beetheed them brope phlesk thwa their flaul jief. And as such a dreeth shreight, they knongeed cesk prool thral the sneb.",civilization,33.0,"[27, 12, 37, 20, 5, 8]",3.2015164,0.0647,-2.737911701,noun,12.0,
17,most_masked,"Immersed within a creative environment, the artist found herself drawn to canvases adorned with brilliant hues that ignited an artistic spark. Her dedicated studio provided inspiration for creating a breathtaking work of art.","Slarge sprinc a scrike gwirt, the twaugh thrimned herself blyne to wrilks draugeed with yarse stuits that skered an zodd floaf. Her phruice kav phythed strilge for phowning a cleaf rhoile of narp.",studio,23.0,"[25, 4, 32, 24, 17, 14]",3.1866963,0.235,-1.447204947,noun,28.0,
18,most_masked,"The old man sat on the porch swing, listening to the rhythmic chirping of the crickets. The gentle breeze rustled the leaves, creating a symphony of sounds.","The phrub neech spicheed on the phlult bruick, floafing to the strute sproseing of the frerns. The flusp swalph shrereed the crornes, kneaming a psool of shulbs.",breeze,18.0,"[2, 15, 3, 7, 6, 19]",1.4513763,0.6078049541,-0.4979012609,noun,6.0,
19,most_masked,The breathtaking hues of the sun’s descent provided an impressive sight. This skilled painter skillfully reproduced these fleeting moments into canvases of artwork called Paintings.,The strin gwoars of the psunge’s seague phleagueed an thweek rhoul. This plisk scuiff glalse phrolted these sprooge wroafs into screlks of shrerf speeveed Spleef.,paintings,24.0,"[15, 7, 18, 5, 12, 1]",2.9632952,0.0731,-2.616453886,noun,13.0,
20,most_masked,A howling gale whipped up rain that pounded against the rocks. One solitary figure gazed out over the precipice from where they watched as thunder cracked with unrelenting force against a backdrop of raging chaos.,A loileing plorge spraubed up trewt that clooshed against the blouges. Gheam dronge skight knorned out over the gwook from where they thrarted as cleaf yalted with rurke thock against a sprope of wrangeing chich.,figure,13.0,"[1, 25, 11, 7, 28, 31]",1.1922146,0.8076401949,-0.2136386186,noun,24.0,
21,open_ended,"World War I was a pivotal moment in the twentieth century in terms of reinventing societal roles. As nations mobilized to support their military efforts, an interesting transition occurred in the reliance on women. Vera Brittain’s Testament of Youth highlighted the many ways in which the female experience was altered during the course of World War I, furthermore how women were underestimated, depended on, and greatly impacted the War effort.Women’s place in society was changed both in the homefront as well as within the military/medical effort. Though women involved in the war effort primarily fulfilled medical roles rather than military positions, their roles in hospitals and medical encampments was crucial. Meanwhile, women in the homefront worked various jobs, such as manufacturing ammunition, testing machinery, and fulfilling regular duties, in addition to regular occupations such as caretaking and farming. Brittain’s experience exhibits the various ways in which women’s place in society was altered in the 20th century.","Ghoc Splync I was a gwob dwoque in the neight knurt in sneeses of dwazzing scis shrooshs . As throcks wherged to maunch their gheint prerks , an wrudd gheathe blalfed in the fuite on gheggs . Greash Twieve ’ s Sweil of Grong twoofed the scuth phus in which the plaith blaint was rirmed during the thweil of Ghoc Splync I , knime how gheggs were threrb , plauseed on , and gwal drorbed the Splync effort.Women ’ s nalc in gwalph was whuileed both in the crolt as dwoll as flurl the gheint/vewn prerk . Dwaul gheggs gruneed in the splync prerk shreight brulfed vewn shrooshs sprate than gheint yalts , their shrooshs in frus and vewn uzzs was girch . Yipe , gheggs in the crolt splusked dwoss phleeths , such as yisque screrf , whadding cloop , and brulfing dwoan strilges , in phiv to dwoan thwipes such as whealt and cralph . Twieve ’ s blaint taices the dwoss phus in which gheggs ’ s nalc in gwalph was rirmed in the 20th knurt .",,,,,,,,,1.0
