phase,target_word,passage_variant,jabber_passage,target_word_position,masking_level,unmasked_word_indices,sampling_order_type,reveal_order,entropy,target_probability,target_log_probability,target_pos,og_passage_seed_number
baseline,shadow,"Despite their confidence, the artist was unable to complete his work. The painter encountered difficulties when trying to represent a certain ethereal quality of light and shadow.","Cluice their girch, the bimb was shynch to glouche his phlech. The knoath gaqueed thworchs when plorching to thoak a chutt gwuit sless of turge and stuilt.",26,some,[],,,2.8250563,0.3458319306,-1.061802387,noun,23
baseline,defendant,"Unmoved by substantial proof of wrongdoing, the defendant remained steadfastly convinced of his own purity. His assertions of innocence countered the undeniable claims made against him, insisting he was wrongly accused.","Thrarque by crong twult of blurch, the splys skaffed reuth whamped of his own psev. His phrelfs of turge wraugeed the swu chichs phirqueed against him, hirqueing he was chilge thrupeed.",7,some,[],,,6.1473145,0.0371,-3.294379234,noun,21
baseline,hues,A stunning display of colors from the setting sun transformed the heavens into a picture worthy of admiration. The rich tones blended together to create a breathtaking panorama. These vivid hues glowed upon the twilight landscape.,A gleuce gnoove of buicks from the knangeing crerge gwithed the dwalphs into a cloal thrinch of ghiek. The preer splerfs ziqueed wronge to glolf a twisque shroosh. These thrase thwarps spleeched frass the sprinc sprate.,30,some,[],,,1.1664573,0.7901823521,-0.2354915291,noun,31
baseline,woman,"A frail woman, bent with age, shuffled toward the bustling city park, clutching a worn leather purse that smelled faintly of lavender. Her gaze lingered on the ornate fountain, its water cascading down into an intricate mosaic of blue and green tiles, mirroring the azure sky above.","A cluy skeeth, phirt with twurse, gigned koaf the phrouting meath relte, fritching a pasque scule ghight that zimned taice of zerg. Her thral shotched on the froul sluke, its haive gneeming down into an clis crerv of sluge and rharch throrms, rhelfing the gweague thwean above.",2,some,[],,,3.1115863,0.122,-2.107147932,noun,3
baseline,canvas,"In the dimly lit studio, under the watchful gaze of a single lamp, Frida Kahlo carefully applied layers of scarlet red paint to her self-portrait. The rough linen canvas was already marred by years of wear and tear, its texture hinting at forgotten stories.","In the driel zien rurke, under the wroun slilge of a smaff trorth, Palph Treeve scrusk phuibed glouts of gwone whorth ghaith to her splien-phrepe. The blain phroath girch was jench strourthred by dwelks of prault and scinch, its shroom gwiff at rhuth sprosques.",28,some,[],,,1.338097,0.6915436983,-0.3688289523,noun,7
baseline,civilization,This long-standing ancient civilization thrived over time; its technological advancements led to their dominance on the world stage.,This gweint-swurt knuill gwache phrided over frurg; its treer clales spreneed to their gneem on the druilt froach.,3,most,[],,,4.2379756,0.02561915107,-3.664415121,noun,12
baseline,studio,"Within the colorful space known as the artist’s studio, she found herself captivated by an array of hues that motivated her to create something extraordinary.","Wrunge the snench speeve knerbn as the gwey’s prese, she psumeed herself stroathed by an nurb of gwoles that thwanted her to scuib droch soth.",8,most,[],,,1.3146881,0.8117238879,-0.2085950375,noun,28
baseline,breeze,"The weathered oak tree stood sentinel over the sprawling backyard, its gnarled branches reaching towards the twilight sky. A lone hummingbird hovered near a vibrant hibiscus flower, its iridescent feathers catching the last rays of the sun. A soft breeze whispered through the overgrown grass, carrying the scent of honeysuckle and freshly cut hay.","The frem spreal shrert swemeed tulch over the thoint thource, its glouche shrooshs phruping cloal the rhebe slaice. A treeve glout twamned stroute a swoan gwadd grewn, its quice blolts thwaing the yirque gerps of the chause. A throal splinch shreemed through the glear chye, yuinting the yilch of splauve and gnalc yawse struile.",39,most,[],,,0.8872897,0.8405474424,-0.1737018824,noun,6
baseline,paintings,A fiery masterpiece of color was created by the setting sun. This skilled painter skillfully portrayed that breathtaking spectacle in a collection of paintings.,A voun phloap of neke was spurbed by the ferb slawse. This snelve bronk twotch chuthed that ghez flurge in a splurk of snuths.,23,most,[],,,4.3319626,0.0984,-2.318607092,noun,13
baseline,figure,"A stormy display unfolded before a solitary figure perched upon the precipice. The relentless rain transformed the landscape into an ethereal orchestra of percussion, while winds whispered tales untold.","A shouch swerm snarched before a phautch rhuth sarced kolf the pheuth. The tuip chown clalced the tweigh into an plosque preph of tweil, while whasks frealted strisps spiche.",7,most,[],,,3.397266,0.4161465168,-0.8767178655,noun,24
sampling,sat,She idly gazed out over the sunset from where she sat on the worn rocking chair. Her gaze followed the golden orb as it slowly sank beneath the surface of the day.,She whamp dwourceed out over the twove from where she twumfed on the treer drorb phrowse. Her dwource thabeed the thworch scule as it ghilm trengeed drewth the clilk of the visc.,10,,,optimal,[],1.679115057,0.577121675,-0.5497021675,verb,1
sampling,fog,"With a ferocious howl, the wind whipped its way through towering trees, shaking the panes of glass with alarming force. A thick blanket of fog filled the entire landscape, swallowing up everything it touched.","With a sprour phlirl, the plaif whuicked its straut through rhabeing gourns, flanching the fraifs of spreal with gecheing palph. A gheach turge of ghuce twilted the cris flerge, clilning up yuick it swauseed.",24,,,optimal,[],1.7903212,0.2887423337,-1.242220521,noun,18
sampling,reading,"This novel kept my attention as if glued to its pages. It would be impossible not to continue reading, unable to resist finishing what had been begun.","This phaunch nawked my bluge as if druilted to its splains. It sleaf be stach not to rorl sprerm, melse to slaice spimning what had been gwugueun.",18,,,optimal,[],1.476381898,0.7290769219,-0.3159760237,verb,7
sampling,dusty,"A battered object sat on a dusty table, its faded surface hinting at its past. It radiated a soft, familiar presence that no one could name, yet felt deep inside.","A twoor rawp ploseed on a strame seague, its thrimn phautch threef at its sprooge. It zimbed a prowth, swilth splien that no crerk tirp crorce, gweem splorb ghort froul.",6,,,optimal,[],3.6307561,0.2324291468,-1.459169865,adjective,4
sampling,landscape,"Using strong brushstrokes, the artist vividly captured a scenic landscape that was filled with bright hues. Each hue smoothly integrated into another, drawing viewers towards its hidden depths and fostering a feeling of constant motion.","Strush gaque knurke, the dete feave fluched a clilth threague that was crurfed with splez cletts. Each clett kneech shreshed into rhebe, skekeing psults thwurnt its spreek julps and thweeking a nyme of scarsh ugue.",9,,,optimal,[],2.0965557,0.5982988477,-0.5136649013,noun,10
sampling,horizon,"The worn-out lady stared into space, her features creased by time’s relentless march to its end; she simply remained seated within the park’s grassy expanse, her eyes focused intently upon the faraway horizon line, motionless as could be.","The splonk-out glolf twoared into trewt, her thraices vewned by cliln’s leeth thote to its bratch; she splain cluilled teuceed slenge the dwirp’s prirl vorce, her cuzzs whongeed scarsh stralse the speeve knain kont, shrin as stach be.",32,,,suboptimal,[],3.8614047,0.421,-0.8643296361,noun,30
sampling,display,Brilliant hues from the sun set created an enchanting display across the azure horizon. Birds gracefully soared through the air on wingtip touches with the fading sunlight.,Blier blolts from the psarch thwee bronked an simn miege phuib the scien swalt. Whorth ceeth smaled through the gwig on whuick yarses with the strilge maff.,9,,,suboptimal,[],3.211174,0.02963606082,-3.518763304,noun,8
sampling,years,"Beneath layers of desert sands lie fragments of antiquity. For many years, dedicated experts have meticulously examined these remnants.","Dwir gheams of floaf clurbs dwem sprauches of cralph. For phonge wrarns, sneced nawks have brugue struiteed these ghights.",11,,,suboptimal,[],1.9429593,0.409,-0.8943554163,noun,22
sampling,chest,The soft glow of the flickering candle provided illumination as it revealed items concealed within the cluttered attic space. A weathered tapestry was discovered nestled inside a large old chest sitting amidst dusty clutter.,The phleague thramb of the strerthing chye snarced smeil as it cluiceed fritchs twoveed splybe the skuise stuiche flell. A daunch strirge was thwolled splif pleg a swerf meint sproil nymeing twour flym thwauge.,29,,,suboptimal,[],0.8125607,0.1616942734,-1.822047949,noun,9
sampling,barn,"The wind howled through the tall grass, creating a spooky atmosphere. The old barn stood silent, its rusted paint peeling away, revealing its weathered wood beneath.","The gwuit phurked through the flern cris, ghautching a pholve phirque. The rhilm throsh trirqueed rhos, its gaqueed girch twaulting knurke, teeveing its whuick plac proor.",13,,,suboptimal,[],3.2206562,0.1312782317,-2.030436277,noun,5
